Entity,Code,TilmanEconomicGroup,WBEconomicGroup,Year,pop,pcgdpthousand2005usd,pcgdpgrowth
Albania,ALB,NA,Upper-middle income,1988,3200972,3.3552681146594714,0.6654746852363225
Albania,ALB,NA,Upper-middle income,1989,3257913,3.3792343154784676,0.7117467768863905
Albania,ALB,NA,Upper-middle income,1990,3286070,3.4091920665022126,0.8826182628272061
Albania,ALB,NA,Upper-middle income,1991,3280397,2.518248551056028,-30.291169211525993
Albania,ALB,NA,Upper-middle income,1992,3245887,2.4323725179071034,-3.469651460755385
Albania,ALB,NA,Upper-middle income,1993,3195196,2.6850875461859833,9.884620722953496
Albania,ALB,NA,Upper-middle income,1994,3146518,2.9099333066553448,8.041682916049009
Albania,ALB,NA,Upper-middle income,1995,3112923,3.1384167940347325,7.5588304798666295
Albania,ALB,NA,Upper-middle income,1996,3098699,3.394375818781612,7.840142397984606
Albania,ALB,NA,Upper-middle income,1997,3099747,3.018876808092553,-11.723504666610364
Albania,ALB,NA,Upper-middle income,1998,3110699,3.3153558309384072,9.368011316889913
Albania,ALB,NA,Upper-middle income,1999,3122700,3.7935414527794293,13.473504552698689
Albania,ALB,NA,Upper-middle income,2000,3129246,4.115749904075963,8.15210511854989
Albania,ALB,NA,Upper-middle income,2001,3129701,4.5243137125378015,9.464484567255749
Albania,ALB,NA,Upper-middle income,2002,3126183,4.800909348061324,5.933944757173104
Albania,ALB,NA,Upper-middle income,2003,3118017,5.139594562420917,6.816884996582551
Albania,ALB,NA,Upper-middle income,2004,3104893,5.49499620185176,6.686369920504154
Albania,ALB,NA,Upper-middle income,2005,3086810,5.870409618966465,6.608651651680431
Albania,ALB,NA,Upper-middle income,2006,3063021,6.288842366551268,6.885259712932612
Albania,ALB,NA,Upper-middle income,2007,3033993,6.7329275083698334,6.823303258778979
Albania,ALB,NA,Upper-middle income,2008,3002683,7.294395678056866,8.009629508684357
Albania,ALB,NA,Upper-middle income,2009,2973044,7.583137041781159,3.88206338182131
Albania,ALB,NA,Upper-middle income,2010,2948029,7.894269684556342,4.021016809592615
Albania,ALB,NA,Upper-middle income,2011,2928601,8.117694591691436,2.790905669258814
Albania,ALB,NA,Upper-middle income,2012,2914091,8.210135651993278,1.1323249522054102
Albania,ALB,NA,Upper-middle income,2013,2903788,8.268339282553697,0.7064230499213675
Albania,ALB,NA,Upper-middle income,2014,2896307,8.395017772596963,1.5204730969429203
Albania,ALB,NA,Upper-middle income,2015,2890524,8.586747379148932,2.258160469670889
Albania,ALB,NA,Upper-middle income,2016,2886427,8.852087459644963,3.043329008346518
Albania,ALB,NA,Upper-middle income,2017,2884169,9.160327039606996,3.4228578709629254
Albania,ALB,NA,Upper-middle income,2018,2882735,9.504456005295475,3.687886076186686
Albania,ALB,NA,Upper-middle income,2019,2880913,9.752511680874617,2.576411830483627
Albania,ALB,NA,Upper-middle income,2020,2877800,9.484237995771917,-2.7893597790114466
Algeria,DZA,D,Lower-middle income,1960,11057864,2.848554154486408,NA
Algeria,DZA,D,Lower-middle income,1961,11336336,2.454823712460042,-14.87566002215882
Algeria,DZA,D,Lower-middle income,1962,11619828,1.9549572382352634,-22.76866309436102
Algeria,DZA,D,Lower-middle income,1963,11912800,2.412026925283263,21.009912168272482
Algeria,DZA,D,Lower-middle income,1964,12221675,2.464239005638933,2.141559815355021
Algeria,DZA,D,Lower-middle income,1965,12550880,2.551544451479562,3.481580306589549
Algeria,DZA,D,Lower-middle income,1966,12902626,2.3538232947228432,-8.065790301745446
Algeria,DZA,D,Lower-middle income,1967,13275020,2.488205206457929,5.552070989825896
Algeria,DZA,D,Lower-middle income,1968,13663581,2.6970535278806107,8.059824119839876
Algeria,DZA,D,Lower-middle income,1969,14061724,2.871664419561869,6.273190764850744
Algeria,DZA,D,Lower-middle income,1970,14464992,3.068529640575052,6.630670362793856
Algeria,DZA,D,Lower-middle income,1971,14872253,2.7287231503914273,-11.736471312361484
Algeria,DZA,D,Lower-middle income,1972,15285992,3.2063352952842803,16.129484309392804
Algeria,DZA,D,Lower-middle income,1973,15709831,3.215750588463172,0.2932162569935004
Algeria,DZA,D,Lower-middle income,1974,16149018,3.3124713274826925,2.963374044985878
Algeria,DZA,D,Lower-middle income,1975,16607705,3.4408616890130292,3.8027395589239177
Algeria,DZA,D,Lower-middle income,1976,17085799,3.5581248858774037,3.3511757639570705
Algeria,DZA,D,Lower-middle income,1977,17582899,3.764405400069478,5.635623186206895
Algeria,DZA,D,Lower-middle income,1978,18102266,4.118762797893208,8.9962905979863
Algeria,DZA,D,Lower-middle income,1979,18647801,4.355001063109028,5.57720279253886
Algeria,DZA,D,Lower-middle income,1980,19221659,4.300221175522751,-1.2658396871923605
Algeria,DZA,D,Lower-middle income,1981,19824297,4.271975295986077,-0.6590138678425284
Algeria,DZA,D,Lower-middle income,1982,20452901,4.403789400490556,3.0389078798540803
Algeria,DZA,D,Lower-middle income,1983,21101875,4.487671103357043,1.8868484304382704
Algeria,DZA,D,Lower-middle income,1984,21763578,4.588671521094241,2.225667125500519
Algeria,DZA,D,Lower-middle income,1985,22431507,4.681112581396084,1.994525951923487
Algeria,DZA,D,Lower-middle income,1986,23102386,4.503933882484219,-3.8584601746534553
Algeria,DZA,D,Lower-middle income,1987,23774287,4.355001063109028,-3.3626356580280126
Algeria,DZA,D,Lower-middle income,1988,24443472,4.15128835614756,-4.790612108842907
Algeria,DZA,D,Lower-middle income,1989,25106192,4.184669850145448,0.800907864711653
Algeria,DZA,D,Lower-middle income,1990,25758872,4.020330187386617,-4.006377655165028
Algeria,DZA,D,Lower-middle income,1991,26400468,4.02994234578652,0.23880341760449397
Algeria,DZA,D,Lower-middle income,1992,27028330,4.151476662011138,2.9712023524459896
Algeria,DZA,D,Lower-middle income,1993,27635517,4.122974001751404,-0.6889345082398801
Algeria,DZA,D,Lower-middle income,1994,28213777,4.157271346994873,0.8284184814439044
Algeria,DZA,D,Lower-middle income,1995,28757788,4.401546848842493,5.70971028414915
Algeria,DZA,D,Lower-middle income,1996,29266415,4.666244977530871,5.839863920878963
Algeria,DZA,D,Lower-middle income,1997,29742980,4.826176571210493,3.369987911357697
Algeria,DZA,D,Lower-middle income,1998,30192750,5.195341657397389,7.370783495124655
Algeria,DZA,D,Lower-middle income,1999,30623406,5.496399936471159,5.6330931945804075
Algeria,DZA,D,Lower-middle income,2000,31042238,5.849935635981095,6.233733786962592
Algeria,DZA,D,Lower-middle income,2001,31451513,6.178358180775696,5.462191084599866
Algeria,DZA,D,Lower-middle income,2002,31855110,6.689000886011588,7.941194896142312
Algeria,DZA,D,Lower-middle income,2003,32264159,7.352642105404463,9.459520015962998
Algeria,DZA,D,Lower-middle income,2004,32692153,7.859450218509316,6.665693848629073
Algeria,DZA,D,Lower-middle income,2005,33149720,8.533354107467185,8.226584004306758
Algeria,DZA,D,Lower-middle income,2006,33641007,8.88956032649695,4.089509393255941
Algeria,DZA,D,Lower-middle income,2007,34166976,9.393672242009664,5.515870563869907
Algeria,DZA,D,Lower-middle income,2008,34730604,9.821862657070774,4.457448747100257
Algeria,DZA,D,Lower-middle income,2009,35333882,10.191644016993015,3.6957386205237697
Algeria,DZA,D,Lower-middle income,2010,35977451,10.774296596332555,5.559518224533022
Algeria,DZA,D,Lower-middle income,2011,36661438,11.30177555764379,4.779648959376948
Algeria,DZA,D,Lower-middle income,2012,37383899,11.451564312762518,1.3166499500536055
Algeria,DZA,D,Lower-middle income,2013,38140135,11.54999692326911,0.8558828713751243
Algeria,DZA,D,Lower-middle income,2014,38923688,11.763980859153003,1.8357223036665982
Algeria,DZA,D,Lower-middle income,2015,39728020,11.986524152472255,1.8740637850519715
Algeria,DZA,D,Lower-middle income,2016,40551398,12.26641514060839,2.3082019983515334
Algeria,DZA,D,Lower-middle income,2017,41389174,12.211832118243125,-0.4459723954535644
Algeria,DZA,D,Lower-middle income,2018,42228415,12.17827943709653,-0.2751336518998837
Algeria,DZA,D,Lower-middle income,2019,43053054,12.04057657693642,-1.1371663797377973
Algeria,DZA,D,Lower-middle income,2020,43851043,11.173531963695364,-7.4734563215795635
Angola,AGO,NA,Lower-middle income,1960,5454938,1.709303679840552,NA
Angola,AGO,NA,Lower-middle income,1961,5531451,1.9044570293666643,10.81108611845254
Angola,AGO,NA,Lower-middle income,1962,5608499,1.821431262243713,-4.457434413880557
Angola,AGO,NA,Lower-middle income,1963,5679409,1.8830586357782746,3.327478888487212
Angola,AGO,NA,Lower-middle income,1964,5734995,2.0602373346901395,8.992379843666477
Angola,AGO,NA,Lower-middle income,1965,5770573,2.177500531554514,5.5356486676940815
Angola,AGO,NA,Lower-middle income,1966,5781305,2.264805977395143,3.9311420214888204
Angola,AGO,NA,Lower-middle income,1967,5774440,2.35639110195345,3.96421604677063
Angola,AGO,NA,Lower-middle income,1968,5771973,2.2810687565223193,-3.2487168542662204
Angola,AGO,NA,Lower-middle income,1969,5803677,2.3067468288283863,1.1194146743152444
Angola,AGO,NA,Lower-middle income,1970,5890360,2.412026925283263,4.462920911552814
Angola,AGO,NA,Lower-middle income,1971,6041239,2.3572470376969856,-2.2973013170025536
Angola,AGO,NA,Lower-middle income,1972,6248965,2.335848644108596,-0.9119158580261688
Angola,AGO,NA,Lower-middle income,1973,6497283,2.4411287405634723,4.408526082584807
Angola,AGO,NA,Lower-middle income,1974,6761623,2.334136772621525,-4.481839868859794
Angola,AGO,NA,Lower-middle income,1975,7023994,1.4636501214458408,-46.6708733348883
Angola,AGO,NA,Lower-middle income,1976,7279630,1.3018782659176162,-11.712535723741274
Angola,AGO,NA,Lower-middle income,1977,7533814,1.2839036153033692,-1.390290516899137
Angola,AGO,NA,Lower-middle income,1978,7790774,1.3095816876094364,1.980262729617957
Angola,AGO,NA,Lower-middle income,1979,8058112,1.3070138803788298,-0.19627091678485753
Angola,AGO,NA,Lower-middle income,1980,8341290,1.3112935590965076,0.3269045081904065
Angola,AGO,NA,Lower-middle income,1981,8640478,1.2590814787408373,-4.0631629699099
Angola,AGO,NA,Lower-middle income,1982,8952971,1.176055711617886,-6.821624781914296
Angola,AGO,NA,Lower-middle income,1983,9278104,1.1024452376738263,-6.4635566117995635
Angola,AGO,NA,Lower-middle income,1984,9614756,1.0776231011112944,-2.2772872619951796
Angola,AGO,NA,Lower-middle income,1985,9961993,1.0630721934711895,-1.3594771550923153
Angola,AGO,NA,Lower-middle income,1986,10320116,0.9466649323503509,-11.597308041114381
Angola,AGO,NA,Lower-middle income,1987,10689247,1.0365381854215867,9.069656147081215
Angola,AGO,NA,Lower-middle income,1988,11068051,1.164072611208388,11.603823517700532
Angola,AGO,NA,Lower-middle income,1989,11454784,1.164072611208388,0
Angola,AGO,NA,Lower-middle income,1990,11848385,1.184615069053242,1.7493157447517338
Angola,AGO,NA,Lower-middle income,1991,12248901,1.230108053822158,3.7684128587377157
Angola,AGO,NA,Lower-middle income,1992,12657361,1.1891772065662864,-3.384036923502287
Angola,AGO,NA,Lower-middle income,1993,13075044,0.9248214521753229,-25.14162297034374
Angola,AGO,NA,Lower-middle income,1994,13503753,0.9593755781418541,3.6681939193373134
Angola,AGO,NA,Lower-middle income,1995,13945205,1.129116195442395,16.290784435886778
Angola,AGO,NA,Lower-middle income,1996,14400722,1.312988311868708,15.08704946537877
Angola,AGO,NA,Lower-middle income,1997,14871572,1.4442374987824538,9.527580635816424
Angola,AGO,NA,Lower-middle income,1998,15359600,1.5502451406193354,7.083157387672085
Angola,AGO,NA,Lower-middle income,1999,15866871,1.6257814699863502,4.757553112690954
Angola,AGO,NA,Lower-middle income,2000,16395476,1.7235464506129843,5.839545314800009
Angola,AGO,NA,Lower-middle income,2001,16945753,1.850952486038255,7.13163059755304
Angola,AGO,NA,Lower-middle income,2002,17519418,2.1592434221449,15.405752889791147
Angola,AGO,NA,Lower-middle income,2003,18121477,2.3212378209664437,7.23426941019345
Angola,AGO,NA,Lower-middle income,2004,18758138,2.6228438989160763,12.215859977691323
Angola,AGO,NA,Lower-middle income,2005,19433604,3.1744688075524508,19.088112694835736
Angola,AGO,NA,Lower-middle income,2006,20149905,3.9307479524681828,21.368941282728727
Angola,AGO,NA,Lower-middle income,2007,20905360,4.941787812089845,22.889744454219695
Angola,AGO,NA,Lower-middle income,2008,21695636,5.7722166704680635,15.532900739395838
Angola,AGO,NA,Lower-middle income,2009,22514275,6.0665301758827725,4.9730628277469435
Angola,AGO,NA,Lower-middle income,2010,23356247,6.437210268335726,5.930845143586216
Angola,AGO,NA,Lower-middle income,2011,24220660,6.861180920181204,6.378431460486955
Angola,AGO,NA,Lower-middle income,2012,25107925,7.010113739556395,2.147435352246929
Angola,AGO,NA,Lower-middle income,2013,26015786,7.28230130600071,3.809299947301259
Angola,AGO,NA,Lower-middle income,2014,26941773,7.42353070368408,1.9207854364328147
Angola,AGO,NA,Lower-middle income,2015,27884380,7.43722567558065,0.18431061547499183
Angola,AGO,NA,Lower-middle income,2016,28842482,7.235224840106253,-2.753644991027815
Angola,AGO,NA,Lower-middle income,2017,29816769,6.972829178567985,-3.6940385939168596
Angola,AGO,NA,Lower-middle income,2018,30809787,6.651853274742143,-4.712554661388446
Angola,AGO,NA,Lower-middle income,2019,31825299,6.399375002012534,-3.8695174111210706
Angola,AGO,NA,Lower-middle income,2020,32866267,5.946310620120115,-7.3429366268344065
Argentina,ARG,B,Upper-middle income,1960,20481781,7.584446623468769,NA
Argentina,ARG,B,Upper-middle income,1961,20817270,7.997863587596454,5.3074801020706275
Argentina,ARG,B,Upper-middle income,1962,21153042,7.745362543253458,-3.208017171687505
Argentina,ARG,B,Upper-middle income,1963,21488916,7.4423612900418625,-3.9906106562749954
Argentina,ARG,B,Upper-middle income,1964,21824427,8.085169033437083,8.284322366767904
Argentina,ARG,B,Upper-middle income,1965,22159644,8.692027475603808,7.2374823558422285
Argentina,ARG,B,Upper-middle income,1966,22494031,8.624408551864498,-0.7809836541984083
Argentina,ARG,B,Upper-middle income,1967,22828872,8.73054458406291,1.223136179986195
Argentina,ARG,B,Upper-middle income,1968,23168268,8.97448627097055,2.7557944063657747
Argentina,ARG,B,Upper-middle income,1969,23517613,9.601031235238594,6.748482030920311
Argentina,ARG,B,Upper-middle income,1970,23880564,9.962236119010608,3.6931043296752897
Argentina,ARG,B,Upper-middle income,1971,24259564,10.27379672965756,3.0795090583368268
Argentina,ARG,B,Upper-middle income,1972,24653172,10.416737998828001,1.3817288456228205
Argentina,ARG,B,Upper-middle income,1973,25056475,10.862680521210038,4.191917382859156
Argentina,ARG,B,Upper-middle income,1974,25462305,11.370250417126638,4.566722268647272
Argentina,ARG,B,Upper-middle income,1975,25865775,11.080944135811611,-2.5773443391181594
Argentina,ARG,B,Upper-middle income,1976,26264681,10.866960199927716,-1.9499876899210733
Argentina,ARG,B,Upper-middle income,1977,26661397,11.329165501436929,4.165340683525809
Argentina,ARG,B,Upper-middle income,1978,27061041,10.651264392556751,-6.170181102397532
Argentina,ARG,B,Upper-middle income,1979,27471046,11.224741340725588,5.2441782806037285
Argentina,ARG,B,Upper-middle income,1980,27896532,11.195639525445378,-0.2596015812375452
Argentina,ARG,B,Upper-middle income,1981,28338514,10.378220890368901,-7.581490920550538
Argentina,ARG,B,Upper-middle income,1982,28794550,9.886057837835942,-4.858399985574469
Argentina,ARG,B,Upper-middle income,1983,29262049,10.078643380131448,1.9293202934679066
Argentina,ARG,B,Upper-middle income,1984,29737097,10.131711396230653,0.5251579069275092
Argentina,ARG,B,Upper-middle income,1985,30216284,9.325419925820137,-8.292625057517355
Argentina,ARG,B,Upper-middle income,1986,30698964,9.856100086812196,5.53465648760656
Argentina,ARG,B,Upper-middle income,1987,31184411,9.957100504549395,1.019535356198098
Argentina,ARG,B,Upper-middle income,1988,31668939,9.624141500314055,-3.4011233790343987
Argentina,ARG,B,Upper-middle income,1989,32148137,8.895740182565277,-7.8702150438000995
Argentina,ARG,B,Upper-middle income,1990,32618648,8.77676511421383,-1.346462924477576
Argentina,ARG,B,Upper-middle income,1991,33079002,9.607005666728472,9.038468754112605
Argentina,ARG,B,Upper-middle income,1992,33529320,10.499832240810436,8.886669068862885
Argentina,ARG,B,Upper-middle income,1993,33970103,11.064501610178294,5.238265051013302
Argentina,ARG,B,Upper-middle income,1994,34402669,11.61622923110389,4.866126149005767
Argentina,ARG,B,Upper-middle income,1995,34828168,11.200809377336334,-3.6417150446760083
Argentina,ARG,B,Upper-middle income,1996,35246376,11.739355587811485,4.696088106415619
Argentina,ARG,B,Upper-middle income,1997,35657438,12.601642374564097,7.0880230062845495
Argentina,ARG,B,Upper-middle income,1998,36063451,12.998205963901567,3.0984192510872255
Argentina,ARG,B,Upper-middle income,1999,36467218,12.477685760185276,-4.086943529814224
Argentina,ARG,B,Upper-middle income,2000,36870796,12.298889342718129,-1.4432948902000309
Argentina,ARG,B,Upper-middle income,2001,37275644,11.68521765203286,-5.118436652585334
Argentina,ARG,B,Upper-middle income,2002,37681743,10.35234595284182,-12.111143829775495
Argentina,ARG,B,Upper-middle income,2003,38087866,11.202974894767479,7.896620249798492
Argentina,ARG,B,Upper-middle income,2004,38491970,12.139933515786135,8.032095052151522
Argentina,ARG,B,Upper-middle income,2005,38892924,13.133614998528897,7.867466483707419
Argentina,ARG,B,Upper-middle income,2006,39289876,14.114782700701166,7.204769267243671
Argentina,ARG,B,Upper-middle income,2007,39684303,15.314350967193974,8.156769382309248
Argentina,ARG,B,Upper-middle income,2008,40080159,15.852186751001991,3.451709568001826
Argentina,ARG,B,Upper-middle income,2009,40482786,14.832493381013185,-6.648718326818415
Argentina,ARG,B,Upper-middle income,2010,40895751,16.245651852947862,9.100502178849812
Argentina,ARG,B,Upper-middle income,2011,41320497,17.121282677942194,5.249699599386259
Argentina,ARG,B,Upper-middle income,2012,41755188,16.77548463755382,-2.040371777839267
Argentina,ARG,B,Upper-middle income,2013,42196034,17.01001103128257,1.3883482019424243
Argentina,ARG,B,Upper-middle income,2014,42637508,16.41941536824302,-3.5337556391946467
Argentina,ARG,B,Upper-middle income,2015,43075416,16.69245887043087,1.6492554258726422
Argentina,ARG,B,Upper-middle income,2016,43508459,16.155787159234062,-3.267872927783877
Argentina,ARG,B,Upper-middle income,2017,43937143,16.43474517740974,1.7119378608833724
Argentina,ARG,B,Upper-middle income,2018,44361150,15.883068912628756,-3.4144008512695834
Argentina,ARG,B,Upper-middle income,2019,44780675,15.397705379605084,-3.1035196616694627
Argentina,ARG,B,Upper-middle income,2020,45195777,13.738606102580023,-11.400866348372585
Australia,AUS,A,High income,1960,10242070,11.994227574164075,NA
Australia,AUS,A,High income,1961,10445836,11.805921710586247,-1.5824253094697927
Australia,AUS,A,High income,1962,10643420,12.316059413733452,4.230280868789782
Australia,AUS,A,High income,1963,10845179,12.824485245393586,4.045219927972665
Australia,AUS,A,High income,1964,11065419,13.437335237765062,4.668079099717337
Australia,AUS,A,High income,1965,11313186,13.850752201892746,3.030249732746748
Australia,AUS,A,High income,1966,11593402,13.972295077474799,0.8736904157911063
Australia,AUS,A,High income,1967,11899644,14.643348700406692,4.690977282110298
Australia,AUS,A,High income,1968,12215704,15.209978162627246,3.796545180189792
Australia,AUS,A,High income,1969,12518931,15.773183881873658,3.6359604907110654
Australia,AUS,A,High income,1970,12793030,16.404864460602916,3.92666288479
Australia,AUS,A,High income,1971,13033130,16.767781215862,2.188135603487895
Australia,AUS,A,High income,1972,13244163,16.923561521185476,0.9247563488263388
Australia,AUS,A,High income,1973,13431790,17.56979300755484,3.7474297290328806
Australia,AUS,A,High income,1974,13605574,17.71615801969942,0.829598451093938
Australia,AUS,A,High income,1975,13773290,17.96865906404242,1.4151971576204403
Australia,AUS,A,High income,1976,13935722,18.49933922503448,2.91059366795956
Australia,AUS,A,High income,1977,14092545,18.48136457442023,-0.09721097860775352
Australia,AUS,A,High income,1978,14249403,18.7860776991189,1.6353143481025345
Australia,AUS,A,High income,1979,14413002,19.537589281943134,3.9224217934679118
Australia,AUS,A,High income,1980,14588400,19.66255590049933,0.6375845870642216
Australia,AUS,A,High income,1981,14777241,20.00150645493942,1.7091482083389398
