Entity,Code,REGION
OECD members,,AG-NA
Oman,OMN,MAF
Other small states,,AG-NA
Pacific island small states,,AG-NA
Pakistan,PAK,ASIA
Palau,PLW,ASIA
Palestine,PSE,MAF
Panama,PAN,LAM
Papua New Guinea,PNG,ASIA
Paraguay,PRY,LAM
Peru,PER,LAM
Philippines,PHL,ASIA
Poland,POL,REF
Portugal,PRT,OECD90
Post-demographic dividend,,AG-NA
Pre-demographic dividend,,AG-NA
Puerto Rico,PRI,LAM
Qatar,QAT,MAF
Romania,ROU,REF
Russia,RUS,REF
Rwanda,RWA,MAF
Saint Kitts and Nevis,KNA,LAM
Saint Lucia,LCA,LAM
Saint Vincent and the Grenadines,VCT,LAM
Samoa,WSM,ASIA
San Marino,SMR,OECD90
Sao Tome and Principe,STP,MAF
Saudi Arabia,SAU,MAF
Senegal,SEN,MAF
Serbia,SRB,REF
Seychelles,SYC,MAF
Sierra Leone,SLE,MAF
Singapore,SGP,ASIA
Sint Maarten (Dutch part),SXM,LAM
Slovakia,SVK,REF
Slovenia,SVN,REF
Small states,,AG-NA
Solomon Islands,SLB,ASIA
Somalia,SOM,MAF
South Africa,ZAF,MAF
South Asia,,AG-NA
South Asia (IDA & IBRD),,AG-NA
South Korea,KOR,ASIA
Spain,ESP,OECD90
Sri Lanka,LKA,ASIA
Sub-Saharan Africa,,AG-NA
Sub-Saharan Africa (excluding high income),,AG-NA
Sub-Saharan Africa (IDA & IBRD),,AG-NA
Sudan,SDN,MAF
Suriname,SUR,LAM
Sweden,SWE,OECD90
Switzerland,CHE,OECD90
Tajikistan,TJK,REF
Tanzania,TZA,MAF
Thailand,THA,ASIA
Timor,TLS,ASIA
Togo,TGO,MAF
Tonga,TON,ASIA
Trinidad and Tobago,TTO,LAM
Tunisia,TUN,MAF
Turkey,TUR,OECD90
Turkmenistan,TKM,REF
Turks and Caicos Islands,TCA,LAM
Tuvalu,TUV,ASIA
Uganda,UGA,MAF
Ukraine,UKR,REF
United Arab Emirates,ARE,MAF
United Kingdom,GBR,OECD90
United States,USA,OECD90
Upper middle income,,AG-NA
Uruguay,URY,LAM
Uzbekistan,UZB,REF
Vanuatu,VUT,ASIA
Vietnam,VNM,ASIA
World,OWID_WRL,AG-NA
Zambia,ZMB,MAF
Zimbabwe,ZWE,MAF
