WBEconomicGroup,year,projectionyear,projectionmonth,yearsaheadproj,pcgdppppgrowthproj,populationproj,gdppppproj,pcgdppppproj
Upper-middle income,2017,2013,10,4,4.9228554183800455,NA,NA,NA
Upper-middle income,2018,2013,10,5,4.41969424411468,NA,NA,NA
NA,2014,2013,10,1,1.0815167224109246,NA,NA,NA
NA,2015,2013,10,2,2.5474769705670752,NA,NA,NA
NA,2016,2013,10,3,2.801750438075601,NA,NA,NA
NA,2017,2013,10,4,2.127401360450243,NA,NA,NA
NA,2018,2013,10,5,1.7982093554122613,NA,NA,NA
World,2014,2013,10,1,2.096437658318351,NA,NA,NA
World,2015,2013,10,2,3.6685133029296324,NA,NA,NA
World,2016,2013,10,3,3.8065759883259886,NA,NA,NA
World,2017,2013,10,4,2.9948308711837512,NA,NA,NA
World,2018,2013,10,5,2.4528378801363715,NA,NA,NA
High income,2015,2014,10,1,2.7281142789071566,NA,NA,NA
High income,2016,2014,10,2,2.8591085040927666,NA,NA,NA
High income,2017,2014,10,3,2.19257597557867,NA,NA,NA
High income,2018,2014,10,4,1.6324533213992964,NA,NA,NA
High income,2019,2014,10,5,2.177493429000066,NA,NA,NA
Low income,2015,2014,10,1,4.396392566925478,NA,NA,NA
Low income,2016,2014,10,2,4.663468964457618,NA,NA,NA
Low income,2017,2014,10,3,3.8789025195646865,NA,NA,NA
Low income,2018,2014,10,4,3.159492996567881,NA,NA,NA
Low income,2019,2014,10,5,3.5875921945637934,NA,NA,NA
Lower-middle income,2015,2014,10,1,4.630601517888877,NA,NA,NA
Lower-middle income,2016,2014,10,2,4.842517430488691,NA,NA,NA
Lower-middle income,2017,2014,10,3,4.2981871704006025,NA,NA,NA
Lower-middle income,2018,2014,10,4,3.860852798685066,NA,NA,NA
Lower-middle income,2019,2014,10,5,4.442950520724054,NA,NA,NA
Upper-middle income,2015,2014,10,1,4.753293247834378,NA,NA,NA
Upper-middle income,2016,2014,10,2,5.092957061284942,NA,NA,NA
Upper-middle income,2017,2014,10,3,4.413843576407039,NA,NA,NA
Upper-middle income,2018,2014,10,4,3.8972669117294245,NA,NA,NA
Upper-middle income,2019,2014,10,5,4.511202523410596,NA,NA,NA
NA,2015,2014,10,1,1.3006922036591817,NA,NA,NA
NA,2016,2014,10,2,1.9033012961193307,NA,NA,NA
NA,2017,2014,10,3,1.565479155805427,NA,NA,NA
NA,2018,2014,10,4,1.3850458545022093,NA,NA,NA
NA,2019,2014,10,5,2.037905802731821,NA,NA,NA
World,2015,2014,10,1,3.3549253304917315,NA,NA,NA
World,2016,2014,10,2,3.5932570470066594,NA,NA,NA
World,2017,2014,10,3,2.9586988372026113,NA,NA,NA
World,2018,2014,10,4,2.4562413773367098,NA,NA,NA
World,2019,2014,10,5,3.048540797089494,NA,NA,NA
High income,2016,2015,10,1,1.8594828151289988,NA,NA,NA
High income,2017,2015,10,2,1.6148107775812548,NA,NA,NA
High income,2018,2015,10,3,1.3611266941406797,NA,NA,NA
High income,2019,2015,10,4,1.9958376588565585,NA,NA,NA
High income,2020,2015,10,5,1.6702912730364616,NA,NA,NA
Low income,2016,2015,10,1,2.9583312422482244,NA,NA,NA
Low income,2017,2015,10,2,3.402996517623258,NA,NA,NA
Low income,2018,2015,10,3,3.120575872915321,NA,NA,NA
Low income,2019,2015,10,4,4.083397065526828,NA,NA,NA
Low income,2020,2015,10,5,4.214068998325082,NA,NA,NA
Lower-middle income,2016,2015,10,1,4.4049992523477854,NA,NA,NA
Lower-middle income,2017,2015,10,2,4.296920915548874,NA,NA,NA
Lower-middle income,2018,2015,10,3,4.212820332145029,NA,NA,NA
Lower-middle income,2019,2015,10,4,5.043906114953423,NA,NA,NA
Lower-middle income,2020,2015,10,5,4.870450593758413,NA,NA,NA
Upper-middle income,2016,2015,10,1,3.3472616412293377,NA,NA,NA
Upper-middle income,2017,2015,10,2,3.564397478597847,NA,NA,NA
Upper-middle income,2018,2015,10,3,3.485257148657084,NA,NA,NA
Upper-middle income,2019,2015,10,4,4.4111885536331386,NA,NA,NA
Upper-middle income,2020,2015,10,5,4.243882617049977,NA,NA,NA
NA,2016,2015,10,1,-1.133557065388402,NA,NA,NA
NA,2017,2015,10,2,-0.7764154097879228,NA,NA,NA
NA,2018,2015,10,3,-0.4676795979586146,NA,NA,NA
NA,2019,2015,10,4,0.8078154808831783,NA,NA,NA
NA,2020,2015,10,5,0.9299285454339667,NA,NA,NA
World,2016,2015,10,1,2.4426602302204614,NA,NA,NA
World,2017,2015,10,2,2.4032410666738,NA,NA,NA
World,2018,2015,10,3,2.264800359651531,NA,NA,NA
World,2019,2015,10,4,3.068998421454161,NA,NA,NA
World,2020,2015,10,5,2.863475886678657,NA,NA,NA
High income,2017,2016,10,1,1.555243614165036,NA,NA,NA
High income,2018,2016,10,2,1.3100478525279513,NA,NA,NA
High income,2019,2016,10,3,1.8044388768929664,NA,NA,NA
High income,2020,2016,10,4,1.3773539296362713,NA,NA,NA
High income,2021,2016,10,5,1.3561773986916492,NA,NA,NA
Low income,2017,2016,10,1,2.245493495164652,NA,NA,NA
Low income,2018,2016,10,2,2.452196612833113,NA,NA,NA
Low income,2019,2016,10,3,3.297029954712105,NA,NA,NA
Low income,2020,2016,10,4,2.894365697144785,NA,NA,NA
Low income,2021,2016,10,5,2.961357203827397,NA,NA,NA
Lower-middle income,2017,2016,10,1,4.382555215100581,NA,NA,NA
Lower-middle income,2018,2016,10,2,4.271325420827488,NA,NA,NA
Lower-middle income,2019,2016,10,3,5.053924223021866,NA,NA,NA
Lower-middle income,2020,2016,10,4,4.881559864602991,NA,NA,NA
Lower-middle income,2021,2016,10,5,4.930882690457672,NA,NA,NA
Upper-middle income,2017,2016,10,1,3.7762231373291044,NA,NA,NA
Upper-middle income,2018,2016,10,2,3.563937470832279,NA,NA,NA
Upper-middle income,2019,2016,10,3,4.292196840871654,NA,NA,NA
Upper-middle income,2020,2016,10,4,4.017487842390111,NA,NA,NA
Upper-middle income,2021,2016,10,5,3.9998098791873105,NA,NA,NA
NA,2017,2016,10,1,-0.9923957774326198,NA,NA,NA
NA,2018,2016,10,2,-0.7843951291439666,NA,NA,NA
NA,2019,2016,10,3,0.42406668843426587,NA,NA,NA
NA,2020,2016,10,4,0.6034333207875164,NA,NA,NA
NA,2021,2016,10,5,0.7642178206705097,NA,NA,NA
World,2017,2016,10,1,2.4554837563693255,NA,NA,NA
World,2018,2016,10,2,2.2732865110127065,NA,NA,NA
World,2019,2016,10,3,2.9361041286030343,NA,NA,NA
World,2020,2016,10,4,2.6457651791712777,NA,NA,NA
World,2021,2016,10,5,2.6683154577836987,NA,NA,NA
High income,2018,2017,10,1,1.5697124666958828,NA,NA,NA
High income,2019,2017,10,2,1.3737865378562475,NA,NA,NA
High income,2020,2017,10,3,1.2809235699119625,NA,NA,NA
High income,2021,2017,10,4,1.296972406675856,NA,NA,NA
High income,2022,2017,10,5,1.2635448279818107,NA,NA,NA
Low income,2018,2017,10,1,2.447921006077536,NA,NA,NA
Low income,2019,2017,10,2,2.6780683133084793,NA,NA,NA
Low income,2020,2017,10,3,2.967320600676082,NA,NA,NA
Low income,2021,2017,10,4,3.0288311423092296,NA,NA,NA
Low income,2022,2017,10,5,3.2638668500736934,NA,NA,NA
Lower-middle income,2018,2017,10,1,4.067465950178217,NA,NA,NA
Lower-middle income,2019,2017,10,2,4.372150204202185,NA,NA,NA
Lower-middle income,2020,2017,10,3,4.483311099688336,NA,NA,NA
Lower-middle income,2021,2017,10,4,4.6281195754298565,NA,NA,NA
Lower-middle income,2022,2017,10,5,4.689772202679698,NA,NA,NA
Upper-middle income,2018,2017,10,1,3.843254435421528,NA,NA,NA
Upper-middle income,2019,2017,10,2,3.8039213167449404,NA,NA,NA
Upper-middle income,2020,2017,10,3,3.846505249201293,NA,NA,NA
Upper-middle income,2021,2017,10,4,3.7968666577111065,NA,NA,NA
Upper-middle income,2022,2017,10,5,3.693470733537829,NA,NA,NA
NA,2018,2017,10,1,-1.3368808536641907,NA,NA,NA
NA,2019,2017,10,2,0.044529437407625494,NA,NA,NA
NA,2020,2017,10,3,0.17503086750085828,NA,NA,NA
NA,2021,2017,10,4,0.16345156061756683,NA,NA,NA
NA,2022,2017,10,5,0.17974687508530707,NA,NA,NA
World,2018,2017,10,1,2.4328730857750003,NA,NA,NA
World,2019,2017,10,2,2.429203906975097,NA,NA,NA
World,2020,2017,10,3,2.4540610008150665,NA,NA,NA
World,2021,2017,10,4,2.4921559466392296,NA,NA,NA
World,2022,2017,10,5,2.483015870797445,NA,NA,NA
High income,2019,2018,10,1,1.716782796781402,NA,NA,NA
High income,2020,2018,10,2,1.3247164816043266,NA,NA,NA
High income,2021,2018,10,3,1.3117926685186632,NA,NA,NA
High income,2022,2018,10,4,1.1765477826196857,NA,NA,NA
High income,2023,2018,10,5,1.1268610922980926,NA,NA,NA
Low income,2019,2018,10,1,1.71093394548123,NA,NA,NA
Low income,2020,2018,10,2,2.076896429182984,NA,NA,NA
Low income,2021,2018,10,3,2.1378298270667173,NA,NA,NA
Low income,2022,2018,10,4,2.2087707867958883,NA,NA,NA
Low income,2023,2018,10,5,2.6685852505691443,NA,NA,NA
Lower-middle income,2019,2018,10,1,3.7090189026224962,NA,NA,NA
Lower-middle income,2020,2018,10,2,4.158593467967009,NA,NA,NA
Lower-middle income,2021,2018,10,3,4.248702852654418,NA,NA,NA
Lower-middle income,2022,2018,10,4,4.289730185996277,NA,NA,NA
Lower-middle income,2023,2018,10,5,4.345223944859988,NA,NA,NA
Upper-middle income,2019,2018,10,1,3.731913641343354,NA,NA,NA
Upper-middle income,2020,2018,10,2,3.949860409518813,NA,NA,NA
Upper-middle income,2021,2018,10,3,3.8522530340820538,NA,NA,NA
Upper-middle income,2022,2018,10,4,3.761129590318113,NA,NA,NA
Upper-middle income,2023,2018,10,5,3.876007750543309,NA,NA,NA
NA,2019,2018,10,1,1.6412900927571528,NA,NA,NA
NA,2020,2018,10,2,2.001440008826094,NA,NA,NA
NA,2021,2018,10,3,0.6260501069446534,NA,NA,NA
NA,2022,2018,10,4,0.590343399069404,NA,NA,NA
NA,2023,2018,10,5,0.6511390623268554,NA,NA,NA
World,2019,2018,10,1,2.4296150473320566,NA,NA,NA
World,2020,2018,10,2,2.4421817477055185,NA,NA,NA
World,2021,2018,10,3,2.423989564682927,NA,NA,NA
World,2022,2018,10,4,2.364486117961384,NA,NA,NA
World,2023,2018,10,5,2.419786932422241,NA,NA,NA
High income,2020,2019,10,1,1.2879669130134275,NA,NA,NA
High income,2021,2019,10,2,1.2574620917055412,NA,NA,NA
High income,2022,2019,10,3,1.1888155792041388,NA,NA,NA
High income,2023,2019,10,4,1.1895579850341065,NA,NA,NA
High income,2024,2019,10,5,1.2213661538922338,NA,NA,NA
Low income,2020,2019,10,1,1.9683592784006443,NA,NA,NA
Low income,2021,2019,10,2,1.9603788181612458,NA,NA,NA
Low income,2022,2019,10,3,2.4179609653649514,NA,NA,NA
Low income,2023,2019,10,4,2.6547147600261667,NA,NA,NA
Low income,2024,2019,10,5,3.0571403133016872,NA,NA,NA
Lower-middle income,2020,2019,10,1,3.7698178066360555,NA,NA,NA
Lower-middle income,2021,2019,10,2,4.071703839722041,NA,NA,NA
Lower-middle income,2022,2019,10,3,4.19831026685813,NA,NA,NA
Lower-middle income,2023,2019,10,4,4.2616962815829496,NA,NA,NA
Lower-middle income,2024,2019,10,5,4.219632227364656,NA,NA,NA
Upper-middle income,2020,2019,10,1,3.6633499403846415,NA,NA,NA
Upper-middle income,2021,2019,10,2,3.8863696246194124,NA,NA,NA
Upper-middle income,2022,2019,10,3,3.8523797781014224,NA,NA,NA
Upper-middle income,2023,2019,10,4,3.9031430253530175,NA,NA,NA
Upper-middle income,2024,2019,10,5,3.8576895731941008,NA,NA,NA
NA,2020,2019,10,1,0.39069561770759265,NA,NA,NA
NA,2021,2019,10,2,1.1798503321777787,NA,NA,NA
NA,2022,2019,10,3,1.0137808489718125,NA,NA,NA
NA,2023,2019,10,4,0.9421555544903981,NA,NA,NA
NA,2024,2019,10,5,0.7550754829653172,NA,NA,NA
World,2020,2019,10,1,2.2279222427775025,NA,NA,NA
World,2021,2019,10,2,2.3760893018513585,NA,NA,NA
World,2022,2019,10,3,2.3792647198817463,NA,NA,NA
World,2023,2019,10,4,2.432889982283193,NA,NA,NA
World,2024,2019,10,5,2.433602704104132,NA,NA,NA
