Entity,Code,TilmanEconomicGroup,WBEconomicGroup,Year,pop,pcgdp,gdp,pcgdpthousand2005usd,pcgdpgrowth
North Macedonia,MKD,NA,Upper-middle income,1960,1488670,3586,5338370620,3.0693855763185875,NA
Norway,NOR,A,High income,1960,3582508,11483,41137939364,9.828710143019059,NA
Oman,OMN,NA,High income,1960,551735,1490,822085150,1.2753442578680134,NA
Pakistan,PAK,E,Lower-middle income,1960,44988690,1031,46383339390,0.8824697515851824,NA
Palestine,PSE,NA,Lower-middle income,1960,1069318,2248,2403826864,1.9241435514679825,NA
Panama,PAN,NA,Upper-middle income,1960,1133005,3217,3644877085,2.7535452869539587,NA
Paraguay,PRY,D,Upper-middle income,1960,1903990,2346,4466760540,2.0080252543344694,NA
Peru,PER,D,Upper-middle income,1960,10155011,4733,48063667063,4.051143874153897,NA
Philippines,PHL,D,Lower-middle income,1960,26269741,2353,61812700573,2.014016804539218,NA
Poland,POL,NA,High income,1960,29614201,5125,151772780125,4.386670685619844,NA
Portugal,PRT,B,High income,1960,8844638,4712,41675934256,4.03316922353965,NA
Puerto Rico,PRI,NA,High income,1960,2294971,5451,12509886921,4.665705738012443,NA
Qatar,QAT,NA,High income,1960,47383,52299,2478083517,44.76458345116727,NA
Romania,ROU,NA,Upper-middle income,1960,18613945,1605,29875381725,1.373776868374605,NA
Russia,RUS,NA,Upper-middle income,1960,119871700,5557,666127036900,4.756434926827215,NA
Rwanda,RWA,F,Low income,1960,2935575,1224,3593143800,1.0476653500875492,NA
Saint Lucia,LCA,NA,Upper-middle income,1960,89698,1691,151679318,1.4473873423186647,NA
Sao Tome and Principe,STP,NA,Lower-middle income,1960,64294,1352,86925488,1.1572251252601033,NA
Saudi Arabia,SAU,B,High income,1960,4086534,5928,24224973552,5.073987087678915,NA
Senegal,SEN,E,Lower-middle income,1960,3206757,2303,7385161371,1.9712200173624395,NA
Serbia,SRB,NA,Upper-middle income,1960,7556732,3948,29833977936,3.3792343154784676,NA
Seychelles,SYC,NA,High income,1960,41611,3257,135527027,2.787782716695382,NA
Sierra Leone,SLE,G,Low income,1960,2317638,1176,2725542288,1.0065804343978413,NA
Singapore,SGP,NA,High income,1960,1633133,3464,5657172712,2.964961415607247,NA
Slovenia,SVN,NA,High income,1960,1586628,7165,11368189620,6.132779602432427,NA
South Africa,ZAF,C,Upper-middle income,1960,17099836,4847,82882905092,4.148720548916954,NA
South Korea,KOR,B,High income,1960,25329521,1547.69,39202246356.49,1.324723190912581,NA
Spain,ESP,B,High income,1960,30402413,5037,153136954281,4.311348340188713,NA
Sri Lanka,LKA,D,Lower-middle income,1960,9874476,2064,20380918464,1.766651374657436,NA
Sudan,SDN,F,Low income,1960,7544498,1632,12312620736,1.3968871334500657,NA
Sweden,SWE,A,High income,1960,7482536,13849,103625641064,11.853854112224239,NA
Switzerland,CHE,A,High income,1960,5280683,16358.36,86383313559.88,14.00170502962268,NA
Tanzania,TZA,F,Lower-middle income,1960,10052151,732,7358174532,0.6265449642680441,NA
Thailand,THA,C,Upper-middle income,1960,27397208,1718,47068403344,1.4704976073941254,NA
Togo,TGO,F,Low income,1960,1580508,1058,1672177464,0.905580016660643,NA
Trinidad and Tobago,TTO,B,High income,1960,847973,9964,8449202972,8.528543748588513,NA
Tunisia,TUN,C,Lower-middle income,1960,4178234,2141,8945598994,1.8325584269096755,NA
Turkey,TUR,C,Upper-middle income,1960,27472339,3041,83543382899,2.602900596091697,NA
Uganda,UGA,F,Low income,1960,6767092,1137,7694183604,0.9731989403999538,NA
United Arab Emirates,ARE,NA,High income,1960,92417,35758,3304647086,30.60655031734525,NA
United Kingdom,GBR,A,High income,1960,52370595,13780,721666799100,11.794794545920285,NA
United States,USA,A,High income,1960,186720570,18057,3371613332490,15.455631721021957,NA
Uruguay,URY,B,High income,1960,2538648,7643,19402886664,6.541916887842433,NA
Vietnam,VNM,E,Lower-middle income,1960,32670048,1274,41621641152,1.0904621372643282,NA
Zambia,ZMB,F,Lower-middle income,1960,3070780,1530,4698293400,1.3095816876094364,NA
Zimbabwe,ZWE,F,Lower-middle income,1960,3776679,1495,5646135105,1.2796239365856912,NA
