Entity,Code,TilmanEconomicGroup,WBEconomicGroup,Year,fertility,laborproductivityhr,hours,laborproductivity,AgeDependency,EmploymentIndustry,EmploymentServices,ManufacturingValue
Afghanistan,AFG,NA,Low income,1980,7.449,NA,NA,NA,94.60743688,NA,NA,NA
Afghanistan,AFG,NA,Low income,1981,7.449,NA,NA,NA,95.76230857,NA,NA,NA
Afghanistan,AFG,NA,Low income,1982,7.45,NA,NA,NA,96.72381435,NA,NA,NA
Afghanistan,AFG,NA,Low income,1983,7.452000000000001,NA,NA,NA,97.51523734,NA,NA,NA
Afghanistan,AFG,NA,Low income,1984,7.455,NA,NA,NA,98.28485625,NA,NA,NA
Afghanistan,AFG,NA,Low income,1985,7.457999999999999,NA,NA,NA,99.2641806,NA,NA,NA
Afghanistan,AFG,NA,Low income,1986,7.46,NA,NA,NA,100.0379923,NA,NA,NA
Afghanistan,AFG,NA,Low income,1987,7.461,NA,NA,NA,100.3184508,NA,NA,NA
Afghanistan,AFG,NA,Low income,1988,7.461,NA,NA,NA,100.4199363,NA,NA,NA
Afghanistan,AFG,NA,Low income,1989,7.461,NA,NA,NA,100.8525112,NA,NA,NA
Afghanistan,AFG,NA,Low income,1990,7.466,NA,NA,NA,102.1866958,NA,NA,NA
Afghanistan,AFG,NA,Low income,1991,7.479,NA,NA,NA,101.8558297,12.43000031,24.13999939,NA
Afghanistan,AFG,NA,Low income,1992,7.502000000000001,NA,NA,NA,101.5728914,12.21000004,24.13999939,NA
Afghanistan,AFG,NA,Low income,1993,7.535,NA,NA,NA,101.4977096,11.56999969,24.03000069,NA
Afghanistan,AFG,NA,Low income,1994,7.572,NA,NA,NA,101.3616658,11.47999954,24.07999992,NA
Afghanistan,AFG,NA,Low income,1995,7.606,NA,NA,NA,100.7510431,11.51000023,24.19000053,NA
Afghanistan,AFG,NA,Low income,1996,7.629,NA,NA,NA,101.7794554,11.07999992,24.23999977,NA
Afghanistan,AFG,NA,Low income,1997,7.632000000000001,NA,NA,NA,102.8217575,10.68999958,24.32999992,NA
Afghanistan,AFG,NA,Low income,1998,7.61,NA,NA,NA,103.6507859,10.32999992,24.45999908,NA
Afghanistan,AFG,NA,Low income,1999,7.561,NA,NA,NA,104.2758189,9.949999809,24.59000015,NA
Afghanistan,AFG,NA,Low income,2000,7.485,NA,NA,NA,104.8563981,9.479999542,24.68000031,NA
Afghanistan,AFG,NA,Low income,2001,7.3870000000000005,NA,NA,NA,104.4761044,8.979999542,24.71999931,NA
Afghanistan,AFG,NA,Low income,2002,7.272,NA,NA,NA,103.6711825,9.989999771,25.59000015,18.82275218
Afghanistan,AFG,NA,Low income,2003,7.148,NA,NA,NA,102.6632376,10.350000380000001,25.950000760000002,16.92386623
Afghanistan,AFG,NA,Low income,2004,7.016,NA,NA,NA,101.5623706,10.60999966,26.12000084,17.55400626
Afghanistan,AFG,NA,Low income,2005,6.875,NA,NA,NA,100.3491273,11.32999992,26.53000069,16.59821222
Afghanistan,AFG,NA,Low income,2006,6.722,NA,NA,NA,100.9709431,11.78999996,26.93000031,16.3855372
Afghanistan,AFG,NA,Low income,2007,6.555,NA,NA,NA,101.6001825,12.19999981,27.65999985,17.74730953
Afghanistan,AFG,NA,Low income,2008,6.372999999999999,NA,NA,NA,102.0786586,12.47999954,28.22999954,17.8391163
Afghanistan,AFG,NA,Low income,2009,6.18,NA,NA,NA,102.2490144,13.63000011,29.47999954,13.14987661
Afghanistan,AFG,NA,Low income,2010,5.977,NA,NA,NA,102.0458227,14.65999985,30.77000046,12.52257684
Afghanistan,AFG,NA,Low income,2011,5.77,NA,NA,NA,100.2244608,14.75,31.69000053,13.77918924
Afghanistan,AFG,NA,Low income,2012,5.562,NA,NA,NA,97.92594721,15.77000046,32.83000183,12.48608514
Afghanistan,AFG,NA,Low income,2013,5.359,NA,NA,NA,95.3387363,16.32999992,33.84999847,11.49986726
Afghanistan,AFG,NA,Low income,2014,5.162999999999999,NA,NA,NA,92.64914304,16.77000046,34.81999969,11.47758756
Afghanistan,AFG,NA,Low income,2015,4.976,NA,NA,NA,89.95409233,17.17000008,35.75999832,11.420006
Afghanistan,AFG,NA,Low income,2016,4.8,NA,NA,NA,87.94178807,17.31999969,36.86999893,4.114196613
Afghanistan,AFG,NA,Low income,2017,4.633,NA,NA,NA,86.00075464,18.03000069,37.99000168,3.530422461
Afghanistan,AFG,NA,Low income,2018,4.473,NA,NA,NA,84.07765546,18.45999908,38.40999985,6.160177217
Afghanistan,AFG,NA,Low income,2019,4.321000000000001,NA,NA,NA,82.1097716,18.549999239999998,38.95999908,7.043181081
Afghanistan,AFG,NA,Low income,2020,4.176,NA,NA,NA,80.0882595,NA,NA,7.676256858
Albania,ALB,NA,Upper-middle income,1960,6.489,NA,NA,NA,83.71052556,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1961,6.401,NA,NA,NA,84.95448011,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1962,6.282,NA,NA,NA,86.24139162,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1963,6.132999999999999,NA,NA,NA,87.43450876,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1964,5.96,NA,NA,NA,88.28750005,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1965,5.773,NA,NA,NA,88.64741337,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1966,5.581,NA,NA,NA,88.84575209,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1967,5.394,NA,NA,NA,88.45907512,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1968,5.218,NA,NA,NA,87.64598137,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1969,5.0569999999999995,NA,NA,NA,86.63365582,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1970,4.91,NA,NA,NA,85.54684072,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1971,4.775,NA,NA,NA,84.24801044,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1972,4.6419999999999995,NA,NA,NA,83.01880019,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1973,4.5089999999999995,NA,NA,NA,81.74230321,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1974,4.373,NA,NA,NA,80.26114243,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1975,4.235,NA,NA,NA,78.54562328,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1976,4.099,NA,NA,NA,77.07658544,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1977,3.966,NA,NA,NA,75.33606918,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1978,3.841,NA,NA,NA,73.49834024,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1979,3.725,NA,NA,NA,71.78705438,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1980,3.6210000000000004,NA,NA,NA,70.29962454,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1981,3.53,NA,NA,NA,68.99512615,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1982,3.452,NA,NA,NA,67.87362019,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1983,3.383,NA,NA,NA,66.89034434,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1984,3.323,NA,NA,NA,65.97989105,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1985,3.2689999999999997,NA,NA,NA,65.13035763,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1986,3.217,NA,NA,NA,64.42528789,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1987,3.1639999999999997,NA,NA,NA,63.81734688,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1988,3.108,NA,NA,NA,63.27509683,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1989,3.0460000000000003,NA,NA,NA,62.70436688,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1990,2.978,NA,NA,NA,61.99490929,NA,NA,NA
Albania,ALB,NA,Upper-middle income,1991,2.905,NA,NA,NA,62.71540506,11.57999992,30.51000023,NA
Albania,ALB,NA,Upper-middle income,1992,2.8289999999999997,NA,NA,NA,63.31197947,11.44999981,30.44000053,NA
Albania,ALB,NA,Upper-middle income,1993,2.7510000000000003,NA,NA,NA,63.74301288,11.63000011,30.75,NA
Albania,ALB,NA,Upper-middle income,1994,2.6719999999999997,NA,NA,NA,64.07723386,11.78999996,31.12999916,NA
Albania,ALB,NA,Upper-middle income,1995,2.591,NA,NA,NA,64.40525431,12.02999973,31.61000061,NA
Albania,ALB,NA,Upper-middle income,1996,2.5069999999999997,NA,NA,NA,63.35169646,11.72999954,32.34000015,4.857952081
Albania,ALB,NA,Upper-middle income,1997,2.4219999999999997,NA,NA,NA,62.42452164,11.63000011,32.31000137,4.583428909
Albania,ALB,NA,Upper-middle income,1998,2.334,NA,NA,NA,61.58218352,11.72000027,33.04000092,4.723942959
Albania,ALB,NA,Upper-middle income,1999,2.246,NA,NA,NA,60.71301915,12.17000008,33.79999924,4.532522983
Albania,ALB,NA,Upper-middle income,2000,2.157,NA,NA,NA,59.72358599,12.81000042,34.36999893,4.317845806
Albania,ALB,NA,Upper-middle income,2001,2.068,NA,NA,NA,58.68645122,13.67000008,35.02000046,4.09904002
Albania,ALB,NA,Upper-middle income,2002,1.9809999999999999,NA,NA,NA,57.5428762,14.46000004,35.38000107,4.066542833
Albania,ALB,NA,Upper-middle income,2003,1.8969999999999998,NA,NA,NA,56.31671298,14.81000042,35.91999817,4.124160074
Albania,ALB,NA,Upper-middle income,2004,1.821,NA,NA,NA,55.0733347,15.22999954,36.43000031,4.177557018
Albania,ALB,NA,Upper-middle income,2005,1.755,NA,NA,NA,53.8499697,15.76000023,36.84999847,4.425844014
Albania,ALB,NA,Upper-middle income,2006,1.704,NA,NA,NA,52.61953224,16.47999954,37.22000122,4.904925321
Albania,ALB,NA,Upper-middle income,2007,1.671,NA,NA,NA,51.6043425,16.950000760000002,37.5,5.296790979
Albania,ALB,NA,Upper-middle income,2008,1.6540000000000001,NA,NA,NA,50.75273712,17.78000069,37.56999969,4.997797675
Albania,ALB,NA,Upper-middle income,2009,1.652,NA,NA,NA,50.04407756,19.94000053,36.00999832,5.197580984
Albania,ALB,NA,Upper-middle income,2010,1.66,NA,NA,NA,49.47790868,20.59000015,37.31999969,5.452125407
Albania,ALB,NA,Upper-middle income,2011,1.673,NA,NA,NA,48.11805823,18.87000084,35.75,5.661897674
Albania,ALB,NA,Upper-middle income,2012,1.6840000000000002,NA,NA,NA,47.0330799,17.28000069,36.72999954,4.614457714
Albania,ALB,NA,Upper-middle income,2013,1.69,NA,NA,NA,46.25665586,16.87999916,38.91999817,5.059801356
Albania,ALB,NA,Upper-middle income,2014,1.6880000000000002,NA,NA,NA,45.77467951,17.73999977,40,5.325788985
Albania,ALB,NA,Upper-middle income,2015,1.6769999999999998,NA,NA,NA,45.55040246,18.67000008,40.04999924,5.671519417
Albania,ALB,NA,Upper-middle income,2016,1.659,NA,NA,NA,45.64503371,19.37999916,40.58000183,5.684427418
Albania,ALB,NA,Upper-middle income,2017,1.6380000000000001,NA,NA,NA,45.68209749,19.37999916,42.54000092,6.158147094
Albania,ALB,NA,Upper-middle income,2018,1.617,NA,NA,NA,45.81003739,19.75,42.97000122,6.133261972
Albania,ALB,NA,Upper-middle income,2019,1.597,NA,NA,NA,46.20352176,20.14999962,43.43000031,6.260872752
Albania,ALB,NA,Upper-middle income,2020,1.58,NA,NA,NA,46.93010865,NA,NA,6.189674633
Algeria,DZA,D,Lower-middle income,1960,7.524,NA,NA,NA,91.64957057,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1961,7.5729999999999995,NA,NA,NA,93.78550891,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1962,7.614,NA,NA,NA,96.54571709,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1963,7.646,NA,NA,NA,99.42343178,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1964,7.665,NA,NA,NA,101.6494878,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1965,7.675,NA,NA,NA,102.8611762,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1966,7.676,NA,NA,NA,103.9946511,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1967,7.672000000000001,NA,NA,NA,103.9521958,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1968,7.666,NA,NA,NA,103.1813035,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1969,7.656000000000001,NA,NA,NA,102.3135735,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1970,7.643,NA,NA,NA,101.6465043,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1971,7.624,NA,NA,NA,101.7220685,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1972,7.597,NA,NA,NA,101.897382,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1973,7.558,NA,NA,NA,102.0530794,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1974,7.505,NA,NA,NA,101.9719538,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1975,7.434,NA,NA,NA,101.573302,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1976,7.343999999999999,NA,NA,NA,101.5385216,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1977,7.234,NA,NA,NA,101.134219,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1978,7.105,NA,NA,NA,100.4918857,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1979,6.957000000000001,NA,NA,NA,99.7783752,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1980,6.794,NA,NA,NA,99.07708496,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1981,6.617000000000001,NA,NA,NA,98.67303752,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1982,6.43,NA,NA,NA,98.08560229,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1983,6.237,NA,NA,NA,97.33137241,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1984,6.037999999999999,NA,NA,NA,96.38115322,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1985,5.835,NA,NA,NA,95.2147405,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1986,5.627000000000001,NA,NA,NA,94.12551162,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1987,5.412000000000001,NA,NA,NA,92.79172493,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1988,5.191,NA,NA,NA,91.25058946,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1989,4.962,NA,NA,NA,89.52998644,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1990,4.726,NA,NA,NA,87.64612325,NA,NA,NA
Algeria,DZA,D,Lower-middle income,1991,4.479,NA,NA,NA,85.77588521,25.39999962,49.72999954,NA
Algeria,DZA,D,Lower-middle income,1992,4.223,NA,NA,NA,83.75662403,25.26000023,50.00999832,NA
Algeria,DZA,D,Lower-middle income,1993,3.9619999999999997,NA,NA,NA,81.57295943,25.03000069,50.41999817,NA
Algeria,DZA,D,Lower-middle income,1994,3.702,NA,NA,NA,79.18647023,24.81999969,50.81000137,NA
Algeria,DZA,D,Lower-middle income,1995,3.448,NA,NA,NA,76.58745512,24.81999969,51.04999924,NA
Algeria,DZA,D,Lower-middle income,1996,3.208,NA,NA,NA,74.06596106,24.78000069,51.34999847,NA
Algeria,DZA,D,Lower-middle income,1997,2.988,NA,NA,NA,71.33041152,24.700000760000002,51.75999832,NA
Algeria,DZA,D,Lower-middle income,1998,2.7960000000000003,NA,NA,NA,68.48971854,24.77000046,52.04999924,NA
Algeria,DZA,D,Lower-middle income,1999,2.635,NA,NA,NA,65.69876058,24.67000008,52.47000122,34.47905286
Algeria,DZA,D,Lower-middle income,2000,2.5140000000000002,NA,NA,NA,63.05267866,24.89999962,52.75999832,44.98039779
Algeria,DZA,D,Lower-middle income,2001,2.438,NA,NA,NA,60.25106287,25.01000023,53.27999878,40.2337955
Algeria,DZA,D,Lower-middle income,2002,2.403,NA,NA,NA,57.7529032,24.799999239999998,53.47999954,38.77373461
Algeria,DZA,D,Lower-middle income,2003,2.405,NA,NA,NA,55.51531498,24.69000053,53.59000015,41.06504534
Algeria,DZA,D,Lower-middle income,2004,2.438,NA,NA,NA,53.510138069999996,25.63999939,54.25999832,42.84511093
Algeria,DZA,D,Lower-middle income,2005,2.496,NA,NA,NA,51.77318823,26.76000023,54.70000076,48.7973262
Algeria,DZA,D,Lower-middle income,2006,2.569,NA,NA,NA,50.49047961,27.52000046,55.41999817,49.87942321
Algeria,DZA,D,Lower-middle income,2007,2.6489999999999996,NA,NA,NA,49.5579901,28.37999916,55.99000168,47.80111722
Algeria,DZA,D,Lower-middle income,2008,2.728,NA,NA,NA,48.95977873,28.88999939,56.79000092,48.95478003
Algeria,DZA,D,Lower-middle income,2009,2.799,NA,NA,NA,48.66997071,29.56999969,57.40000153,35.86954286
Algeria,DZA,D,Lower-middle income,2010,2.86,NA,NA,NA,48.67453747,30.200000760000002,57.93000031,39.03524177
Algeria,DZA,D,Lower-middle income,2011,2.909,NA,NA,NA,49.2130946,30.86000061,58.36999893,39.59350399
Algeria,DZA,D,Lower-middle income,2012,2.952,NA,NA,NA,49.77821874,30.80999947,58.49000168,37.75906102
Algeria,DZA,D,Lower-middle income,2013,2.99,NA,NA,NA,50.49721713,30.95999908,58.45000076,33.54889581
Algeria,DZA,D,Lower-middle income,2014,3.022,NA,NA,NA,51.50918943,30.95999908,58.56000137,30.93603438
Algeria,DZA,D,Lower-middle income,2015,3.043,NA,NA,NA,52.83779055,30.92000008,58.70000076,23.17309737
Algeria,DZA,D,Lower-middle income,2016,3.052,NA,NA,NA,54.18401446,30.950000760000002,58.77999878,21.68468255
Algeria,DZA,D,Lower-middle income,2017,3.045,NA,NA,NA,55.8040012,30.98999977,58.84999847,23.91892299
Algeria,DZA,D,Lower-middle income,2018,3.023,NA,NA,NA,57.5080331,30.90999985,59.22000122,26.54995282
Algeria,DZA,D,Lower-middle income,2019,2.988,NA,NA,NA,58.9904905,30.42000008,59.99000168,23.86191483
Algeria,DZA,D,Lower-middle income,2020,2.9419999999999997,NA,NA,NA,60.06772474,NA,NA,18.8249165
Angola,AGO,NA,Lower-middle income,1960,6.707999999999999,NA,NA,NA,82.27888284,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1961,6.79,NA,NA,NA,84.62404984,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1962,6.872000000000001,NA,NA,NA,87.12945715,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1963,6.954,NA,NA,NA,89.25606616,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1964,7.0360000000000005,NA,NA,NA,90.43936916,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1965,7.1160000000000005,NA,NA,NA,90.57311568,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1966,7.194,NA,NA,NA,90.74841612,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1967,7.267,NA,NA,NA,90.14254992,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1968,7.332000000000001,NA,NA,NA,89.69883028,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1969,7.388,NA,NA,NA,90.26559001,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1970,7.434,NA,NA,NA,92.01025383,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1971,7.4670000000000005,NA,NA,NA,92.46780091,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1972,7.4879999999999995,NA,NA,NA,93.65196682,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1973,7.497999999999999,NA,NA,NA,94.9861607,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1974,7.5,NA,NA,NA,95.68697715,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1975,7.494,NA,NA,NA,95.48807352,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1976,7.485,NA,NA,NA,96.60870556,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1977,7.475,NA,NA,NA,96.31116635,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1978,7.4670000000000005,NA,NA,NA,95.35414263,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1979,7.461,NA,NA,NA,94.72791997,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1980,7.459,NA,NA,NA,94.82695315,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1981,7.459,NA,NA,NA,95.48261059,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1982,7.461,NA,NA,NA,96.77242109,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1983,7.462000000000001,NA,NA,NA,98.29228614,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1984,7.459,NA,NA,NA,99.39787158,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1985,7.4510000000000005,NA,NA,NA,99.80795397,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1986,7.435,NA,NA,NA,100.7000503,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1987,7.409,NA,NA,NA,100.9320595,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1988,7.372999999999999,NA,NA,NA,100.7264786,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1989,7.327999999999999,NA,NA,NA,100.4084701,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1990,7.272,NA,NA,NA,100.1182294,NA,NA,NA
Angola,AGO,NA,Lower-middle income,1991,7.207999999999999,NA,NA,NA,100.5954371,8.880000114,51.29999924,NA
Angola,AGO,NA,Lower-middle income,1992,7.138,NA,NA,NA,100.8653292,8.760000229,51.34000015,NA
Angola,AGO,NA,Lower-middle income,1993,7.065,NA,NA,NA,100.9469757,8.649999619,51.13000107,NA
Angola,AGO,NA,Lower-middle income,1994,6.99,NA,NA,NA,100.8224144,8.56000042,51.34999847,NA
Angola,AGO,NA,Lower-middle income,1995,6.917999999999999,NA,NA,NA,100.4874022,8.489999771,51.95000076,3.646280794
Angola,AGO,NA,Lower-middle income,1996,6.851,NA,NA,NA,100.6294853,8.460000038,52.56000137,3.445749994
Angola,AGO,NA,Lower-middle income,1997,6.789,NA,NA,NA,100.5100534,8.460000038,53,4.378391184
Angola,AGO,NA,Lower-middle income,1998,6.732,NA,NA,NA,100.1751709,8.5,53.34000015,6.259370843
Angola,AGO,NA,Lower-middle income,1999,6.683,NA,NA,NA,99.67862642,8.5,53.63999939,3.222875779
Angola,AGO,NA,Lower-middle income,2000,6.638999999999999,NA,NA,NA,99.071186,8.569999695,53.93000031,2.890163321
Angola,AGO,NA,Lower-middle income,2001,6.601,NA,NA,NA,99.039403,8.6700000760000009,54.11999893,3.873100814
Angola,AGO,NA,Lower-middle income,2002,6.567,NA,NA,NA,98.82302393,8.789999962,54.65999985,3.661825665
Angola,AGO,NA,Lower-middle income,2003,6.5329999999999995,NA,NA,NA,98.47794501,8.930000305,54.61999893,3.999814424
Angola,AGO,NA,Lower-middle income,2004,6.499,NA,NA,NA,98.07344946,9.100000381,54.74000168,4.681937283
Angola,AGO,NA,Lower-middle income,2005,6.461,NA,NA,NA,97.66899625,8.840000153,53.04999924,3.912883549
Angola,AGO,NA,Lower-middle income,2006,6.419,NA,NA,NA,97.82605323,8.5799999239999991,51.20999908,3.612815774
Angola,AGO,NA,Lower-middle income,2007,6.372000000000001,NA,NA,NA,97.86665465,8.319999695,49.47000122,3.39949164
Angola,AGO,NA,Lower-middle income,2008,6.32,NA,NA,NA,97.84078547,8.010000229,47.63000107,3.461736791
Angola,AGO,NA,Lower-middle income,2009,6.26,NA,NA,NA,97.76681878,7.75,45.74000168,5.109421785
Angola,AGO,NA,Lower-middle income,2010,6.194,NA,NA,NA,97.63770606,7.849999905,43.27000046,4.541773802
Angola,AGO,NA,Lower-middle income,2011,6.12,NA,NA,NA,97.98830724,7.9600000380000004,40.81999969,4.167804797
Angola,AGO,NA,Lower-middle income,2012,6.039,NA,NA,NA,98.14544683,7.940000057,40.84000015,4.403289594
Angola,AGO,NA,Lower-middle income,2013,5.952999999999999,NA,NA,NA,98.13046346,7.860000134,40.95999908,4.827342815
Angola,AGO,NA,Lower-middle income,2014,5.864,NA,NA,NA,97.94220512,7.730000019,41.13000107,4.763071572
Angola,AGO,NA,Lower-middle income,2015,5.774,NA,NA,NA,97.56924554,7.570000172,41.27999878,5.685144864
Angola,AGO,NA,Lower-middle income,2016,5.686,NA,NA,NA,97.29458794,7.389999866,41.45999908,6.75268057
Angola,AGO,NA,Lower-middle income,2017,5.6,NA,NA,NA,96.82021693,7.190000057,41.81999969,6.580549623
Angola,AGO,NA,Lower-middle income,2018,5.519,NA,NA,NA,96.17574361,6.989999771,42.11000061,6.059469206
Angola,AGO,NA,Lower-middle income,2019,5.442,NA,NA,NA,95.39404238,6.800000191,42.47000122,4.30866654
Angola,AGO,NA,Lower-middle income,2020,5.371,NA,NA,NA,94.50267233,NA,NA,6.828475157
Argentina,ARG,B,Upper-middle income,1960,3.109,2.9985177772775393,2073,6215.927352296339,57.68394893,NA,NA,NA
Argentina,ARG,B,Upper-middle income,1961,3.1,3.067221599571781,2066.2004,6337.494495923855,57.78574676,NA,NA,NA
Argentina,ARG,B,Upper-middle income,1962,3.09,3.0942220070080366,2059.4233,6372.312896605114,57.74699291,NA,NA,NA
Argentina,ARG,B,Upper-middle income,1963,3.0789999999999997,2.957049573561876,2052.6685,6069.842512588896,57.60992912,NA,NA,NA
Argentina,ARG,B,Upper-middle income,1964,3.068,3.0779499837748308,2045.9355,6297.28713902935,57.43794239,NA,NA,NA
Argentina,ARG,B,Upper-middle income,1965,3.0589999999999997,3.424781309792801,2039.2249,6983.899323984094,57.26819619,NA,NA,41.18416018
