Entity,Scenario,EntityScenario,Year,pcgdpgrowth
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2013,6.43824417540646
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2014,6.288616172325412
High income,1-year projections,High income IMF 1-year projections,2011,0.8903893577636879
High income,2-year projections,High income IMF 2-year projections,2012,1.504416618620752
High income,3-year projections,High income IMF 3-year projections,2013,1.7634640479876396
High income,4-year projections,High income IMF 4-year projections,2014,1.8145928192470961
High income,5-year projections,High income IMF 5-year projections,2015,2.635911024812998
Low income,1-year projections,Low income IMF 1-year projections,2011,2.6778498487141533
Low income,2-year projections,Low income IMF 2-year projections,2012,3.318292514610821
Low income,3-year projections,Low income IMF 3-year projections,2013,3.2754737389891098
Low income,4-year projections,Low income IMF 4-year projections,2014,3.365892743991594
Low income,5-year projections,Low income IMF 5-year projections,2015,4.314563183315112
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2011,3.910689145067181
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2012,4.119667679846728
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2013,4.640773952556998
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2014,4.793810800626375
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2015,5.708791249076839
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2011,5.034818406826069
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2012,5.41482665004569
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2013,5.747977376912772
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2014,5.914239083499062
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2015,6.858129571837068
High income,1-year projections,High income IMF 1-year projections,2012,0.5182516296882156
High income,2-year projections,High income IMF 2-year projections,2013,0.7310357509688004
High income,3-year projections,High income IMF 3-year projections,2014,1.0911050616561724
High income,4-year projections,High income IMF 4-year projections,2015,2.3077435019635217
High income,5-year projections,High income IMF 5-year projections,2016,2.551372100752225
Low income,1-year projections,Low income IMF 1-year projections,2012,1.5234473571726248
Low income,2-year projections,Low income IMF 2-year projections,2013,1.6967968970093672
Low income,3-year projections,Low income IMF 3-year projections,2014,1.961859535235444
Low income,4-year projections,Low income IMF 4-year projections,2015,3.401713230527026
Low income,5-year projections,Low income IMF 5-year projections,2016,3.8022832628204384
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2012,3.4518092850918336
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2013,3.6302961759590247
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2014,4.0050820372945495
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2015,5.20206627529749
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2016,5.477506043801839
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2012,4.724177400439977
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2013,4.8481571159006975
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2014,5.022819672152323
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2015,6.194185889907544
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2016,6.5213844433419155
High income,1-year projections,High income IMF 1-year projections,2013,0.5594702122294848
High income,2-year projections,High income IMF 2-year projections,2014,1.2717343043510354
High income,3-year projections,High income IMF 3-year projections,2015,2.610836364949165
High income,4-year projections,High income IMF 4-year projections,2016,2.8904874607713182
High income,5-year projections,High income IMF 5-year projections,2017,2.272352555442403
Low income,1-year projections,Low income IMF 1-year projections,2013,3.0709049579435543
Low income,2-year projections,Low income IMF 2-year projections,2014,2.5497142599959055
Low income,3-year projections,Low income IMF 3-year projections,2015,3.9950598271702553
Low income,4-year projections,Low income IMF 4-year projections,2016,4.262334589301808
Low income,5-year projections,Low income IMF 5-year projections,2017,3.706366604258804
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2013,3.0449578607083083
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2014,3.4280543571085786
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2015,4.752971736418665
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2016,5.104271610368372
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2017,4.543659736997263
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2013,4.883153789304018
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2014,5.09775903309162
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2015,6.167007544202896
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2016,6.423845781502457
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2017,5.845132333552172
High income,1-year projections,High income IMF 1-year projections,2014,1.3207639397494475
High income,2-year projections,High income IMF 2-year projections,2015,2.9445852086491087
High income,3-year projections,High income IMF 3-year projections,2016,3.1014680964402075
High income,4-year projections,High income IMF 4-year projections,2017,2.2509595341833943
High income,5-year projections,High income IMF 5-year projections,2018,1.6140531576352757
Low income,1-year projections,Low income IMF 1-year projections,2014,4.218241138840373
Low income,2-year projections,Low income IMF 2-year projections,2015,4.774423527137461
Low income,3-year projections,Low income IMF 3-year projections,2016,4.28048072644609
Low income,4-year projections,Low income IMF 4-year projections,2017,3.660502603001081
Low income,5-year projections,Low income IMF 5-year projections,2018,3.1034680730877895
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2014,2.8339293259902476
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2015,4.701470206132363
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2016,4.83768174730308
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2017,4.103532172005053
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2018,3.651560209068805
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2014,4.351670416046005
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2015,5.674647108811293
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2016,5.750040983207683
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2017,4.9228554183800455
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2018,4.41969424411468
High income,1-year projections,High income IMF 1-year projections,2015,2.7281142789071566
High income,2-year projections,High income IMF 2-year projections,2016,2.8591085040927666
High income,3-year projections,High income IMF 3-year projections,2017,2.19257597557867
High income,4-year projections,High income IMF 4-year projections,2018,1.6324533213992964
High income,5-year projections,High income IMF 5-year projections,2019,2.177493429000066
Low income,1-year projections,Low income IMF 1-year projections,2015,4.396392566925478
Low income,2-year projections,Low income IMF 2-year projections,2016,4.663468964457618
Low income,3-year projections,Low income IMF 3-year projections,2017,3.8789025195646865
Low income,4-year projections,Low income IMF 4-year projections,2018,3.159492996567881
Low income,5-year projections,Low income IMF 5-year projections,2019,3.5875921945637934
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2015,4.630601517888877
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2016,4.842517430488691
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2017,4.2981871704006025
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2018,3.860852798685066
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2019,4.442950520724054
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2015,4.753293247834378
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2016,5.092957061284942
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2017,4.413843576407039
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2018,3.8972669117294245
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2019,4.511202523410596
High income,1-year projections,High income IMF 1-year projections,2016,1.8594828151289988
High income,2-year projections,High income IMF 2-year projections,2017,1.6148107775812548
High income,3-year projections,High income IMF 3-year projections,2018,1.3611266941406797
High income,4-year projections,High income IMF 4-year projections,2019,1.9958376588565585
High income,5-year projections,High income IMF 5-year projections,2020,1.6702912730364616
Low income,1-year projections,Low income IMF 1-year projections,2016,2.9583312422482244
Low income,2-year projections,Low income IMF 2-year projections,2017,3.402996517623258
Low income,3-year projections,Low income IMF 3-year projections,2018,3.120575872915321
Low income,4-year projections,Low income IMF 4-year projections,2019,4.083397065526828
Low income,5-year projections,Low income IMF 5-year projections,2020,4.214068998325082
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2016,4.4049992523477854
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2017,4.296920915548874
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2018,4.212820332145029
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2019,5.043906114953423
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2020,4.870450593758413
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2016,3.3472616412293377
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2017,3.564397478597847
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2018,3.485257148657084
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2019,4.4111885536331386
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2020,4.243882617049977
High income,1-year projections,High income IMF 1-year projections,2017,1.555243614165036
High income,2-year projections,High income IMF 2-year projections,2018,1.3100478525279513
High income,3-year projections,High income IMF 3-year projections,2019,1.8044388768929664
High income,4-year projections,High income IMF 4-year projections,2020,1.3773539296362713
High income,5-year projections,High income IMF 5-year projections,2021,1.3561773986916492
Low income,1-year projections,Low income IMF 1-year projections,2017,2.245493495164652
Low income,2-year projections,Low income IMF 2-year projections,2018,2.452196612833113
Low income,3-year projections,Low income IMF 3-year projections,2019,3.297029954712105
Low income,4-year projections,Low income IMF 4-year projections,2020,2.894365697144785
Low income,5-year projections,Low income IMF 5-year projections,2021,2.961357203827397
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2017,4.382555215100581
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2018,4.271325420827488
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2019,5.053924223021866
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2020,4.881559864602991
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2021,4.930882690457672
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2017,3.7762231373291044
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2018,3.563937470832279
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2019,4.292196840871654
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2020,4.017487842390111
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2021,3.9998098791873105
High income,1-year projections,High income IMF 1-year projections,2018,1.5697124666958828
High income,2-year projections,High income IMF 2-year projections,2019,1.3737865378562475
High income,3-year projections,High income IMF 3-year projections,2020,1.2809235699119625
High income,4-year projections,High income IMF 4-year projections,2021,1.296972406675856
High income,5-year projections,High income IMF 5-year projections,2022,1.2635448279818107
Low income,1-year projections,Low income IMF 1-year projections,2018,2.447921006077536
Low income,2-year projections,Low income IMF 2-year projections,2019,2.6780683133084793
Low income,3-year projections,Low income IMF 3-year projections,2020,2.967320600676082
Low income,4-year projections,Low income IMF 4-year projections,2021,3.0288311423092296
Low income,5-year projections,Low income IMF 5-year projections,2022,3.2638668500736934
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2018,4.067465950178217
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2019,4.372150204202185
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2020,4.483311099688336
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2021,4.6281195754298565
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2022,4.689772202679698
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2018,3.843254435421528
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2019,3.8039213167449404
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2020,3.846505249201293
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2021,3.7968666577111065
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2022,3.693470733537829
High income,1-year projections,High income IMF 1-year projections,2019,1.716782796781402
High income,2-year projections,High income IMF 2-year projections,2020,1.3247164816043266
High income,3-year projections,High income IMF 3-year projections,2021,1.3117926685186632
High income,4-year projections,High income IMF 4-year projections,2022,1.1765477826196857
High income,5-year projections,High income IMF 5-year projections,2023,1.1268610922980926
Low income,1-year projections,Low income IMF 1-year projections,2019,1.71093394548123
Low income,2-year projections,Low income IMF 2-year projections,2020,2.076896429182984
Low income,3-year projections,Low income IMF 3-year projections,2021,2.1378298270667173
Low income,4-year projections,Low income IMF 4-year projections,2022,2.2087707867958883
Low income,5-year projections,Low income IMF 5-year projections,2023,2.6685852505691443
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2019,3.7090189026224962
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2020,4.158593467967009
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2021,4.248702852654418
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2022,4.289730185996277
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2023,4.345223944859988
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2019,3.731913641343354
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2020,3.949860409518813
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2021,3.8522530340820538
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2022,3.761129590318113
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2023,3.876007750543309
High income,1-year projections,High income IMF 1-year projections,2020,1.2879669130134275
High income,2-year projections,High income IMF 2-year projections,2021,1.2574620917055412
High income,3-year projections,High income IMF 3-year projections,2022,1.1888155792041388
High income,4-year projections,High income IMF 4-year projections,2023,1.1895579850341065
High income,5-year projections,High income IMF 5-year projections,2024,1.2213661538922338
Low income,1-year projections,Low income IMF 1-year projections,2020,1.9683592784006443
Low income,2-year projections,Low income IMF 2-year projections,2021,1.9603788181612458
Low income,3-year projections,Low income IMF 3-year projections,2022,2.4179609653649514
Low income,4-year projections,Low income IMF 4-year projections,2023,2.6547147600261667
Low income,5-year projections,Low income IMF 5-year projections,2024,3.0571403133016872
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2020,3.7698178066360555
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2021,4.071703839722041
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2022,4.19831026685813
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2023,4.2616962815829496
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2024,4.219632227364656
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2020,3.6633499403846415
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2021,3.8863696246194124
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2022,3.8523797781014224
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2023,3.9031430253530175
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2024,3.8576895731941008
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1980,NA
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1981,2.5727531278934013
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1982,2.4916516470563366
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1983,2.41151485136033
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1984,2.3323714993503053
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1985,2.254628178416551
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1986,2.1783382927183847
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1987,2.1034380651478557
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1988,2.0298998938160118
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1989,1.9577573765832579
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1990,1.8872699374577806
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1991,1.8190681818949006
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1992,1.7530444904245712
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1993,1.6888568420883487
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1994,1.6263044451608533
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1995,1.565352541530718
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1996,1.5060522514392272
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1997,1.448424204586285
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1998,1.3924478613093427
High income,Kuznets 1980,High income Kuznets Kuznets 1980,1999,1.338118536302968
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2000,1.2854405678695446
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2001,1.2344138217436296
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2002,1.185032262378849
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2003,1.1372708495894113
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2004,1.0910894089693368
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2005,1.0464506709168653
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2006,1.003330253792445
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2007,0.9617080786521459
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2008,0.9215611235488641
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2009,0.8828804090184939
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2010,0.8456902392022236
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2011,0.8099531579197183
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2012,0.775593646136663
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2013,0.7425571120572183
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2014,0.7107964924979004
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2015,0.6802664703598804
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2016,0.6509234605129421
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2017,0.6227259165467736
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2018,0.59563418860753
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2019,0.5696141894785178
High income,Kuznets 1980,High income Kuznets Kuznets 1980,2020,0.5446441187110462
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1980,NA
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1981,3.457227702063355
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1982,3.4883137716726464
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1983,3.522094626299657
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1984,3.5595058121906167
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1985,3.600036724637021
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1986,3.644636041914878
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1987,3.6919970482192808
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1988,3.7418097867964906
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1989,3.7935051118407004
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1990,3.848403803327222
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1991,3.904768592109742
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1992,3.9611701900595375
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1993,4.017446129469376
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1994,4.073425401340547
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1995,4.128928758561234
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1996,4.1837691344269405
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1997,4.237752181997212
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1998,4.290676938425852
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,1999,4.342336616760067
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2000,4.392519525841109
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2001,4.441010116806188
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2002,4.487590152420395
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2003,4.532039992935122
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2004,4.5741399896516715
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2005,4.613671974692135
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2006,4.650420832895863
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2007,4.684176139227181
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2008,4.714733842750363
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2009,4.741897976128939
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2010,4.765482367852036
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2011,4.785312333033209
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2012,4.801226317756102
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2013,4.813077471561389
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2014,4.820735122897202
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2015,4.824086133121552
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2016,4.823036106035983
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2017,4.81751043187324
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2018,4.807455147145423
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2019,4.792837594727373
Low income,Kuznets 1980,Low income Kuznets Kuznets 1980,2020,4.773646871927673
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1980,NA
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1981,4.101752257238688
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1982,4.154755457459769
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1983,4.207921031833428
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1984,4.260292299493685
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1985,4.311315325664522
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1986,4.36124019019668
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1987,4.409637513422105
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1988,4.455708222827792
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1989,4.49986551059961
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1990,4.542029459415165
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1991,4.582259676949985
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1992,4.619918103408516
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1993,4.654782539130431
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1994,4.686872960157817
