country,REGION
Honduras,LAM
"Hong Kong SAR, China",ASIA
Hungary,REF
Iceland,OECD90
India,ASIA
Indonesia,ASIA
"Iran, Islamic Rep.",MAF
Iraq,MAF
Ireland,OECD90
Isle of Man,OECD90
Israel,MAF
Italy,OECD90
Jamaica,LAM
Japan,OECD90
Jordan,MAF
Kazakhstan,REF
Kenya,MAF
Kiribati,ASIA
"Korea, Dem. People’s Rep.",ASIA
"Korea, Rep.",ASIA
Kosovo,REF
Kuwait,MAF
Kyrgyz Republic,REF
Lao PDR,ASIA
Latvia,REF
Lebanon,MAF
Lesotho,MAF
Liberia,MAF
Libya,MAF
Liechtenstein,OECD90
Lithuania,REF
Luxembourg,OECD90
"Macao SAR, China",ASIA
Madagascar,MAF
Malawi,MAF
Malaysia,ASIA
Maldives,ASIA
Mali,MAF
Malta,REF
Marshall Islands,ASIA
Mauritania,MAF
Mauritius,MAF
Mexico,LAM
"Micronesia, Fed. Sts.",ASIA
Moldova,REF
Monaco,OECD90
Mongolia,ASIA
Montenegro,REF
Morocco,MAF
Mozambique,MAF
Myanmar,ASIA
Namibia,MAF
Nauru,ASIA
Nepal,ASIA
Netherlands,OECD90
New Caledonia,ASIA
New Zealand,OECD90
Nicaragua,LAM
Niger,MAF
Nigeria,MAF
North Macedonia,REF
Northern Mariana Islands,ASIA
Norway,OECD90
Oman,MAF
Pakistan,ASIA
Palau,ASIA
Panama,LAM
Papua New Guinea,ASIA
Paraguay,LAM
Peru,LAM
Philippines,ASIA
Poland,REF
Portugal,OECD90
Puerto Rico,LAM
Qatar,MAF
Romania,REF
Russian Federation,REF
Rwanda,MAF
Samoa,ASIA
San Marino,OECD90
Sao Tome and Principe,MAF
Saudi Arabia,MAF
Senegal,MAF
Serbia,REF
Seychelles,MAF
Sierra Leone,MAF
Singapore,ASIA
Sint Maarten (Dutch part),LAM
Slovak Republic,REF
Slovenia,REF
Solomon Islands,ASIA
Somalia,MAF
South Africa,MAF
South Sudan,MAF
Spain,OECD90
Sri Lanka,ASIA
St. Kitts and Nevis,LAM
St. Lucia,LAM
St. Martin (French part),LAM
St. Vincent and the Grenadines,LAM
Sudan,MAF
Suriname,LAM
Sweden,OECD90
Switzerland,OECD90
Syrian Arab Republic,MAF
Tajikistan,REF
Tanzania,MAF
Thailand,ASIA
Timor-Leste,ASIA
Togo,MAF
Tonga,ASIA
Trinidad and Tobago,LAM
Tunisia,MAF
Turkey,OECD90
Turkmenistan,REF
Turks and Caicos Islands,LAM
Tuvalu,ASIA
Uganda,MAF
Ukraine,REF
United Arab Emirates,MAF
United Kingdom,OECD90
United States,OECD90
Uruguay,LAM
Uzbekistan,REF
Vanuatu,ASIA
"Venezuela, RB",LAM
Vietnam,ASIA
Virgin Islands (U.S.),LAM
West Bank and Gaza,MAF
"Yemen, Rep.",MAF
Zambia,MAF
Zimbabwe,MAF
